"Unique Barcode",Description,Category,Brand,Supplier,"System Warehouse","Scanned Warehouse","System Location","Scanned Location","Audit Status",Outbounded,"Unit Cost","Scanned Date"
56084941-10,"Laptop Battery Acer AP14A8M","Laptop Battery",Acer,Kina,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,1138.67,
50186802-20,"Laptop Battery Acer AP13B3K","Laptop Battery",Acer,Kelly,"LPO HQ-BUFFER",,"NW WS2-4",,MISSING,no,823.17,
CLI11-3,"Cellphone LCD iPhone 11 ","Cellphone Lcd",Apple,"Bea Ke","LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,600.00,
43215171-2,"Laptop Battery Lenovo G480","Laptop Battery",Lenovo,Jst,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,1000.00,
80272097-1,"Laptop Battery HP HSTNN-C18C","Laptop Battery",HP,Mars,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,750.00,
86743969-112,"Laptop Charger Sony 3.9A Circle Pin","Laptop Charger",SONY,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,172.95,
86743969-135,"Laptop Charger Sony 3.9A Circle Pin","Laptop Charger",SONY,Liz,"LPO HQ-BUFFER",,"NW BR7-L3-4",,MISSING,no,172.95,
26977066-25,"Laptop Charger Dell 19.5V 2.31A Circle Pin Original","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,472.74,
35603241-61,"Laptop Charger Dell 19.5V 4.62A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,190.33,
26977066-9,"Laptop Charger Dell 19.5V 2.31A Circle Pin Original","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,472.74,
39264364-19,"Laptop Charger Dell 19.5V 2.31A Circle Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,135.00,
03088198-20,"Laptop Charger Microsoft Surface Pro 15V 4A","Laptop Charger",Microsoft,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,552.94,
45334378-2,"﻿Wall Mount Bracket C1700","Wall Mount","No Brand",Yannick,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,1655.83,
45334378-3,"﻿Wall Mount Bracket C1700","Wall Mount","No Brand",Yannick,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,1655.83,
82841274-3,"Laptop Charger Microsoft Surface Pro 12V 3.6A","Laptop Charger",Microsoft,Liz,"LPO HQ-BUFFER",,"NW BR5-L3-1",,MISSING,no,617.02,
68105692-8,"Laptop Charger Asus 20V 9A Common Pin Original","Laptop Charger",ASUS,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,1068.02,
70510957-22,"Laptop Charger HP Printer 32V","Laptop Charger",HP,Liz,"LPO HQ-BUFFER",,"BUFFER BOX 6",,MISSING,no,186.97,
70510957-27,"Laptop Charger HP Printer 32V","Laptop Charger",HP,Liz,"LPO HQ-BUFFER",,"NW BR6-L3-8",,MISSING,no,186.97,
47067192-9,"Laptop Charger Dell 19.5V 4.62A Circle Pin Original","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"NW WS3-16",,MISSING,no,607.67,
78598494-119,"Laptop Charger LPO Lenovo 20V 2.25A Bullet Pin Original","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,301.37,
81505285-37,"Laptop Charger Lenovo 20V 2A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,135.56,
81505285-26,"Laptop Charger Lenovo 20V 2A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,135.56,
81505285-89,"Laptop Charger Lenovo 20V 2A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-3",,MISSING,no,135.56,
70510957-68,"Laptop Charger HP Printer 32V","Laptop Charger",HP,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,186.97,
96517047-38,"Laptop Charger HP Printer 32V","Laptop Charger",HP,Liz,"LPO HQ-BUFFER",,"FOR SKU",,MISSING,no,186.97,
51844432-3,"Laptop Charger Dell 19V 1.58A Yellow Pin","Laptop Charger",Dell,Liz,"LPO HQ-BUFFER",,"SLOW MOVING 1",,MISSING,no,154.89,
55246203-11,"Laptop Charger HP Printer 32V","Laptop Charger",HP,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,758.25,
92946875-89,"Cellphone Battery Huawei CUN U29 / Y52 (HB4342A1RBC)","Cellphone Battery",huawei,Imports,"LPO HQ-BUFFER",,"BUFFER BOX 6",,MISSING,no,195.45,
92073270-150,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
92073270-115,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
92073270-116,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
92073270-118,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
92073270-119,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
92073270-120,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
92073270-121,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
92073270-122,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
92073270-123,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
92073270-126,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
92073270-127,"Laptop Charger Lenovo 4.74A Common Pin","Laptop Charger",Lenovo,Liz,"LPO HQ-BUFFER",,"NW WS2-8",,MISSING,no,183.35,
